A0ADemolishStructure	_("Demolish Structure")
Cyb-Hvywpn-Mortar1Mk1-Ram	"Cyb-Hvywpn-Mortar1Mk1-Ram"
Cyb-Hvywpn-PulseLsr	_("Super Pulse Laser Cyborg")
Cyb-Hvywpn-RailGunner	_("Super Rail-Gunner")
Cyb-Hvywpn-Rocket-LtA-T	"Cyb-Hvywpn-Rocket-LtA-T"
Cyb-Hvywpn-Rocket-MRL	"Cyb-Hvywpn-Rocket-MRL"
Cyb-Hvywpn-Rocket-Pod	"Cyb-Hvywpn-Rocket-Pod"
Cyb-Hvywpn-Rocket-Pod-Arch	"Cyb-Hvywpn-Rocket-Pod-Arch"
Cyb-Hvywpn-Rocket-Pod-MRA	"Cyb-Hvywpn-Rocket-Pod-MRA"
Cyb-Hvywpn-Rocket-Sunburst	"Cyb-Hvywpn-Rocket-Sunburst"
Cyb-Hvywpn-Rocket-Sunburst-Arch	"Cyb-Hvywpn-Rocket-Sunburst-Arch"
Cyb-Hvywpn-Rocket-TopAttack	"Cyb-Hvywpn-Rocket-TopAttack"
Cyb-Hvywpn-TK	_("Super Tank-Killer Cyborg")
Cyb-Laser1-GROUND	_("Flashlight Gunner")
Cyb-Mechanic	_("Cyborg Mechanic")
Cyb-NXCybATmiss-GRD	"*Cyb-NXCybATmiss-GRD*"
Cyb-NXCybATmiss-JUMP	"*Cyb-NXCybATmiss-JUMP*"
Cyb-NXCybRail1-GRD	"*Cyb-NXCybRail1-GRD*"
Cyb-NXCybRail1-JUMP	"*Cyb-NXCybRail1-JUMP*"
CybNXMissJmp	"*CybNXMissJmp*"
Cyb-NXPulseLas-GRD	"*Cyb-NXPulseLas-GRD*"
CybNXPulseLasJmp	"*CybNXPulseLasJ*"
Cyb-NXPulseLas-JUMP	"*Cyb-NXPulseLas-JUMP*"
CybNXRail1Jmp	"*CybNXRail1Jmp*"
CyborgCan01Air	"*TEST - Cyborg Cannon01 Air*"
CyborgCan01Ground	_("Cyborg Cannon")
CyborgCannon	_("Heavy Gunner")
CyborgCannon01	"*Cyborg Cannon*"
CyborgCannon01Grd	_("Heavy Gunner")
CyborgCannonGrd	"*Cyborg Cannon*"
CyborgChain01Ground	_("Machinegunner")
CyborgChain1Ground	"*CyborgChaingun1Ground*"
CyborgChaingun	_("Machinegunner")
CyborgFlamer01	_("Flamer")
CyborgFlamer01Grd	_("Flamer")
CyborgFlamerGrd	"*Cyborg Flamer*"
CyborgHeavyBody	"Heavy Cyborg"
CyborgHeavyNAS	"Heavy Cyborg"
CyborgLegs	_("Cyborg Propulsion")
CyborgLegs02	_("Cyborg Propulsion II")
CyborgLegs03	_("Cyborg Propulsion III")
CyborgLightBody	"Cyborg Body"
CyborgLightNAS	"Cyborg Body"
CyborgMecha	"Mecha Cyborg"
CyborgRepair	"*Cyborg Mechanic*"
CyborgRkt01Air	"*TEST - Cyborg Rocket01 Air*"
CyborgRkt01Ground	_("Lancer")
CyborgRkt1Ground	"*CyborgRocket1Ground*"
CyborgRocket	_("Lancer")
CyborgRotMG	"*CyborgRotMG*"
CyborgRotMgGround	_("Assault Gunner")
CyborgSpade	"*Combat Engineer*"
Cyb-Rail1-GROUND	_("Needle Gunner")
Cyb-Rocket-GROUND	_("Lancer")
CybRotMgGrd	"*Cyborg Assault Gun*"
Cyb-RotMG-GROUND	_("Assault Gunner")
Cyb-Thermite	_("Thermite Flamer")
Cyb-Wpn-Atmiss	"*Cyb-Wpn-Atmiss*"
Cyb-Wpn-BB-Rkt	"*Cyb-Wpn-BB-Rkt*"
Cyb-Wpn-Cannon-Sniper	"Cyb-Wpn-Cannon-Sniper"
Cyb-Wpn-Grenade	"*Cyborg Grenade Weapon*"
Cyb-Wpn-Laser	"*Cyb-Wpn-Laser*"
Cyb-Wpn-Mortar1Mk1-Rail	"Cyb-Wpn-Mortar1Mk1-Rail"
Cyb-Wpn-MortarInc	"Cyb-Wpn-MortarInc"
Cyb-Wpn-Rail1	"*Cyb-Wpn-Rail1*"
Cyb-Wpn-Rocket-HvyA-T	"Cyb-Wpn-Rocket-HvyA-T"
Cyb-Wpn-Rocket-Sunburst	"Cyb-Wpn-Rocket-Sunburst"
Cyb-Wpn-Rocket-Sunburst-Arch	"Cyb-Wpn-Rocket-Sunburst-Arch"
Cyb-Wpn-SpyTurret01	"Cyb-Wpn-SpyTurret01"
Cyb-Wpn-Thermite	"*Cybrog Thermite Weapon*"
DefaultSensor1Mk1	"*Default Sensor*"
Demolish	_("Demolish")
DemolishStructure	_("Demolish")
Dragon-Hover-SeraphGauss	"*SK-Dragon-Hover-SeraphGauss*"
Dragon-Track-GaussEMP	"*Dragon-Track-GaussEMP*"
Dragon-Track-GaussGauss	"*Dragon-Track-GaussGauss*"
Dragon-Track-HellstormGroundshaker	"*Dragon-Track-HellstormGroundshaker*"
Dragon-Track-HellstormHellstorm	"*Dragon-Track-HellstormHellstorm*"
Dragon-Track-HvyLaserStormBringer	"*Dragon-Track-HvyLaserStormBringer*"
Dragon-Track-IncSeraphIncSeraph	"*Dragon-Track-IncSeraphIncSeraph*"
Dragon-Track-IncSeraphScourge	"*Dragon-Track-IncSeraphScourge*"
Dragon-Track-ScourgeScourge	"*Dragon-Track-ScourgeScourge*"
Dragon-Track-SpyTurretSpyTurret	"*Dragon-Track-SpyTurretSpyTurret*"
ECM1PylonMk1	_("Jammer Tower")
ECM1PylonMk2	"Supercrete Jammer Tower"
ECM1PylonMk3	"Plascrete Jammer Tower"
ECM1PylonMk4	"Jammer Sky Tower"
ECM1TurretMk1	_("Jammer Turret")
EMP-Cannon	_("EMP Cannon")
Empl3-Mortar1Mk1-Ram	"Stabilized Mortar Pit"
Empl3-Mortar2Mk1-Inc	"Incendiary Bombard Pit"
Empl3-Mortar2Mk1-Ram	"Stabilized Bombard Pit"
Empl3-Mortar3ROTARYMk1-Inc	"Incendiary Pepperpot Pit"
Empl3-Mortar3ROTARYMk1-Ram-Rot	"Stabilized Pepperpot Pit"
Empl3-PlasmiteFlamer-Hvy	"Heavy Plasmite Bunker"
Empl3-RailGun1Mk1-GatAA	"AA Railgun Rotary Emplacement"
Empl3-Railgun-Flak	"AA Railgun Flak Emplacement"
Empl4-Mortar1Mk1-Rail	"Mortar Rail Pit"
Empl4-Mortar1Mk1-Rail-Inc	"Incendiary Mortar Rail Pit"
Empl4-Mortar1Mk1-Rail-Ram	"Stabilized Mortar Rail Pit"
Empl4-Mortar2Mk1-Rail	"Bombard Rail Pit"
Empl4-Mortar2Mk1-RailPlas	"Incendiary Bombard Rail Pit"
Empl4-Mortar2Mk1-Rail-Ram	"Stabilized Bombard Rail Pit"
Empl4-Mortar3ROTARYMk1-Rail	"Railpot Pit"
Empl4-Mortar3ROTARYMk1-Rail-Inc	"Incendiary Railpot Pit"
Empl4-Mortar3ROTARYMk1-Rail-Ram	"Stabilized Railpot Pit"
Emplacement-Cannon4AUTOMk1-Full-Aslt	"Full Assault Cannon Emplacement"
Emplacement-Cannon4AUTOMk1-Hvy-Aslt	"Heavy HPV Assault Emplacement"
Emplacement-Cannon5VulcanMk1-Gat	"Rotary Cannon Bunker"
Emplacement-Cannon5VulcanMk1-Hvy	"Heavy Assault Cannon Emplacement"
Emplacement-Cannon5VulcanMk1-Hvy-Aslt	"Heavy Assault Cannon"
Emplacement-HeavyLaser	_("Heavy Laser Emplacement")
Emplacement-Howitzer03-Rot-Inc	"Incendiary Hellstorm Emplacement"
Emplacement-Howitzer03-Rot-Rail	"Railstorm Emplacement"
Emplacement-Howitzer03-Rot-Rail-Inc	"Incendiary Railstorm Emplacement"
Emplacement-Howitzer03-Rot-Rail-Ram	"Stabilized Railstorm Emplacement"
Emplacement-Howitzer03-Rot-Ram	"Stabilized Hellstorm Emplacement"
Emplacement-Howitzer105	_("Howitzer Emplacement")
Emplacement-Howitzer105Mk1-Rail	"Howitzer Rail Emplacement"
Emplacement-Howitzer105Mk1-Rail-Inc	"Incendiary Howitzer Rail Emplacement"
Emplacement-Howitzer105Mk1-Rail-Ram	"Stabilized Rail Howitzer Emplacement"
Emplacement-Howitzer105Mk1-Ram	"Stabilized Howitzer Emplacement"
Emplacement-Howitzer150	_("Ground Shaker Emplacement")
Emplacement-Howitzer150Mk1-Gat	"Ground Shaker Assault Emplacement"
Emplacement-Howitzer150Mk1-Gat-Rail	"Ground Shaker Assault Rail Emplacement"
Emplacement-Howitzer150Mk1-Inc	"Incendiary Ground Shaker Emplacement"
Emplacement-Howitzer150Mk1-Rail	"Ground Shaker Rail Emplacement"
Emplacement-Howitzer150Mk1-Rail-Hvy-Ram	"Heavy Ground Shaker Rail Emplacement"
Emplacement-Howitzer150Mk1-Rail-Inc	"Incendiary Ground Shaker Rail Emplacement"
Emplacement-Howitzer150Mk1-Rail-Ram	"Stabilized Rail Ground Shaker Emplacement"
Emplacement-Howitzer150Mk1-Ram	"Stabilized Ground Shaker Emplacement"
Emplacement-Howitzer150Mk1-Ram-Hvy	"Super Stabilized Ground Shaker Emplacement"
Emplacement-Howitzer-Incenediary	_("Incendiary Howitzer Emplacement")
Emplacement-HPVcannon	_("Hyper Velocity Cannon Emplacement")
Emplacement-HvART-pit	_("Archangel Missile Emplacement")
Emplacement-HvyATrocket	_("Tank Killer Emplacement")
Emplacement-Laser4-PlasmaCannon-Hvy-Aslt	"Heavy Plasma Assault Cannon Emplacement"
Emplacement-Laser4-PlasmaCannon-Hvy-Lsr-Aslt	"Heavy Plasma Launcher Emplacement"
Emplacement-MdART-pit	_("Seraph Missile Battery")
Emplacement-MortarEMP	_("EMP Mortar Pit")
Emplacement-MortarPit01	_("Mortar Pit")
Emplacement-MortarPit02	_("Bombard Pit")
Emplacement-MortarPit-Incenediary	_("Incendiary Mortar Pit")
Emplacement-MRL-pit	_("Mini-Rocket Battery")
Emplacement-PlasmaCannon	_("Plasma Cannon Emplacement")
Emplacement-PrisLas	_("Flashlight Emplacement")
Emplacement-PulseLaser	_("Pulse Laser Emplacement")
Emplacement-Rail2	_("Railgun Emplacement")
Emplacement-Rail3	_("Gauss Cannon Emplacement")
Emplacement-RailGun2Mk1-GatAT	"Rail Gun Rotary Emplacement"
Emplacement-RailGun3Mk1-Aslt	"Gauss Cannon Assault Emplacement"
Emplacement-RailGun3Mk1-Hvy	"Heavy Gauss Cannon Emplacement"
Emplacement-Rocket06-IDF	_("Ripple Rocket Battery")
Emplacement-Rocket-Arch-Hvy-Aslt-Gat	"Thermal Rocket Rotary Emplacement"
Emplacement-RotHow	_("Hellstorm Emplacement")
Emplacement-RotMor	_("Pepperpot Pit")
FireBody	"*Fire Engine Body*"
FireBody-AR	"Fire Engine Body AR"
FireBody-BabaFlame	"FireBody-BabaFlame"
FireBody-BabaPitRocket	"FireBody-BabaPitRocket"
FireBody-BabaPitRocketAT	"FireBody-BabaPitRocketAT"
FireBody-BusCannon	"FireBody-BusCannon"
Flame1Mk1	_("Flamer")
Flame2	_("Inferno")
FortressSensor	"*Fortress Sensor*"
GuardTower1	_("Machinegun Guard Tower")
GuardTower10	"Quad Thermal Rocket Tower"
GuardTower2	_("Twin Machinegun Guard Tower")
GuardTower3	_("Heavy Machinegun Tower")
GuardTower4	_("Flamer Guard Tower")
GuardTower5	_("Lancer Tower")
GuardTower6	_("Mini-Rocket Tower")
GuardTower7	"Metal Guard Tower"
GuardTower8	"Mini-Rocket Tower"
GuardTower9	"Quad Rocket-Array Tower"
GuardTower-ATMiss	_("Scourge Missile Tower")
GuardTower-BeamLas	_("Pulse Laser Tower")
GuardTower-Rail1	_("Needle Gun Tower")
GuardTower-RotMg	_("Assault Gun Tower")
GunsOfNav1	"*GunsOfNavaroneOne*"
GunsOfNav2	"*GunsOfNavaroneTwo*"
HalfTrack	_("Half-tracks")
HalfTrack02	_("Half-tracks II")
HalfTrack03	_("Half-tracks III")
HCobraBBTracks	"Bunker Buster HCobra Tracks"
HCobraComHalftrack	"Command Turret HCobra Half-tracks"
HCobraFlameHalfTracks	"Flamer HCobra Half-Tracks"
HCobraFlameHover	"Flamer HCobra Hover"
HCobraFlameTracks	"Flamer HCobra Tracks"
HCobra-Helicopter-HvyMG	"HCobra Helicopter HMG"
HCobra-Helicopter-LightCannon	"HCobra Helicopter Light Cannon"
HCobra-Helicopter-MRL	"HCobra Helicopter Mini Rocket Array"
HCobra-Helicopter-Phosphor	"HCobra Helicopter Phosphor"
HCobra-Helicopter-RocketPod	"HCobra Helicopter Mini-Rocket"
HCobra-Helicopter-Thermite	"HCobra Helicopter Thermite"
HCobraHMGHalfTrack	"Heavy Machinegun HCobra Half-tracks"
HCobraHMGTracks	"Heavy Machinegun HCobra Tracks"
HCobra-Hover-HC	"Heavy Cannon HCobra Hover"
HCobraHoverTruck	"Truck HCobra Hover"
HCobraHRepairHalfTrack	"Heavy Repair HCobra HalfTrack"
HCobraHRepairHover	"Heavy Repair Turret HCobra Hover"
HCobraHvyCnTrks	"Heavy Cannon HCobra Tracks"
HCobraHvyMortarHalftrack	"Bombard HCobra Half-tracks"
HCobraHvyMortarTrack	"Bombard HCobra Tracks"
HCobraInfernoHover	"Inferno HCobra Hover"
HCobraInfernoHTracks	"Inferno HCobra Half-Tracks"
HCobraLtA-Thalftrack	"Lancer HCobra Half-tracks"
HCobraLtCnLTrks	"Light Cannon Long HCobra Tracks"
HCobraLtCnTrks	"Light Cannon HCobra Tracks"
HCobraMedCnHTrks	"Medium Cannon HCobra Half Track"
HCobraMedCnTrks	"Medium Cannon HCobra Tracks"
HCobraMortarHalfTrack	"Mortar HCobra Half-tracks"
HCobraMRLHalftrack	"Mini-Rocket Array HCobra Half-tracks"
HCobraMRLTracks	"Mini-Rocket Array HCobra Tracks"
HCobraPODHTracks	"Mini-Rocket HCobra Half-Tracks"
HCobraPODTracks	"Mini-Rocket HCobra Tracks"
HCobraSensorHalftrack	"Sensor Turret HCobra Half-tracks"
HCobra-Trk-Com	"Command Turret HCobra Tracks"
HCobraTrkLancer	"Lancer HCobra Tracks"
HCobra-VTOL-Cluster	"HCobra VTOL Cluster"
HCobra-VTOL-Phosphor	"HCobra VTOL Phosphor"
HeavyChopper	"heavychopper"
HeavyLaser	_("Heavy Laser")
HeavyLaser-VTOL	_("VTOL Heavy Laser")
HeavyRepair	_("Heavy Repair Turret")
Heavywepslab	"Heavyweaponslab"
hover01	_("Hover")
hover02	_("Hover II")
hover03	_("Hover III")
hoverwreck	"*WreckedHoverProp*"
Howitzer03-Rot	_("Hellstorm")
Howitzer03-Rot-Pit	_("Hellstorm Emplacement")
Howitzer04-Inc-pit	"*Howitzer04-Inc-pit*"
Howitzer105Mk1	_("Howitzer")
Howitzer105Mk1-Pit	_("Howitzer Emplacement")
Howitzer150Mk1	_("Ground Shaker")
Howitzer150Mk1-Pit	_("Ground Shaker Emplacement")
Howitzer-Incenediary	_("Incendiary Howitzer")
HPhytonHoverAssGun	"Assault Gun HPython Hover"
HPythonComTracks	"Command Turret HPython Tracks"
HPythonGaussTracks	"Gauss Cannon HPython Tracks"
HPythonHoverHVC	"Hyper Velocity Cannon HPython Hover"
HPythonHoverInferno	"Inferno HPython Hover"
HPythonHPVHalfTrack	"HPV HPython Half Track"
HPythonHvyCnTrks	"Heavy Cannon HPython Tracks"
HPythonHvyMortarTrack	"Bombard HPython Tracks"
HPythonIncMortarTrack	"Incendiary Mortar HPython Tracks"
HPythonLtCnTrks	"Light Cannon HPython Tracks"
HPythonMedCanTracks	"Medium Cannon HPython Tracks"
HPythonPulseTracks	"Pulse Laser HPython Tracks"
HPythonRotMortarTrack	"Pepperpot HPython Tracks"
HPythonScourgeTracks	"Scourge HPython Tracks"
HPythonTKHalfTracks	"Tank Killer HPython HalfTracks"
HPythonTKTracks	"Tank Killer HPython Tracks"
H-Scorp-Heat-Trk-HC	"Heavy Cannon Thermal Scorpion Tracks"
H-Scorp-Heat-Trk-HPV	"HPV Thermal Scorpion Tracks"
H-Scorp-Heat-Trk-Lancer	"Lancer Thermal Scorpion Tracks"
H-Scorp-Heat-VTOL-BB	"Bunker Buster Thermal Scorpion VTOL"
H-Scorp-Heat-VTOL-Lancer	"Lancer Thermal Scorpion VTOL"
H-Scorp-Trk-HC	_("Heavy Cannon Scorpion Tracks")
H-Scorp-Trk-HPV	"HPV Scorpion Tracks"
H-Scorp-Trk-Lancer	_("Lancer Scorpion Tracks")
H-Scorp-VTOL-BB	_("Bunker Buster Scorpion VTOL")
H-Scorp-VTOL-Lancer	_("Lancer Scorpion VTOL")
HViperBBWheels	"Bunker Buster Rockets HViper Wheels"
HViperFlameHalfTracks	"Flamer HViper Half-Tracks"
HViperFlameWheels	"Flamer HViper Wheels"
HViper-Helicopter-HvyMG	"HViper Helicopter HMG"
HViperHMGHalftrack	"Heavy Machinegun HViper Half-tracks"
HViperHMGTracks	"Heavy Machinegun HViper Tracks"
HViperLtA-Twheels	"Lancer HViper Wheels"
HViperLtCannonHTracks	"Light Cannon HViper Half-tracks"
HViperLtCannonLHTracks	"Light CannonL HViper Half-tracks"
HViperLtCannonTracks	"Light Cannon HViper Tracks"
HViperLtCannonWheels	"Light Cannon HViper Wheels"
HViperLtMGHalfTracks	"Machinegun HViper Half-Tracks"
HViperMedCnTrks	"Medium Cannon HViper Tracks"
HViperMG01Wheels	"Machinegun HViper Wheels"
HViperMG02Halftrack	"Twin Machinegun HViper Half-tracks"
HViperMortarHT	"Mortar HViper Halftrack"
HViperMortarWheels	"Mortar HViper Wheels"
HViperMRLHalfTracks	"Mini-Rocket Array HViper Half Track"
HViperMRLWheels	"Mini-Rocket Array HViper Wheels"
HViperPODArchHalfTracks	"Mini-Rocket Arch HViper Half Track"
HViperPODHalfTracks	"Mini-Rocket HViper Half Track"
HViperPODWheels	"Mini-Rocket HViper Wheels"
HViperRepairHalftrack	"Repair Turret HViper Half-track"
HViperRepairWheels	"Repair Turret HViper Wheels"
HViperSensorWheels	"Sensor Turret HViper Wheels"
HViper-Trk-Com	"Command Turret HViper Tracks"
HViperTrkLancer	"Lancer HViper Tracks"
HvyHPythonBBTracks	"Bunker Buster HvyHPython Tracks"
HvyHPythonPlasmaCTracks	"Plasma Cannon HvyHPython Tracks"
HvyHPythonScourgeTracks	"Scourge HvyHPython Tracks"
HvyHPythonTKTracks	"Tank Killer HvyHPython Tracks"
HvyHPython-Trk-AG	"Assault Gun HvyHPython Tracks"
HvyHPythonTrkHC	"Heavy Cannon HvyHPython Tracks"
HvyHPython-Trk-Incendiary-Mortar	"Incendiary Mortar HvyHPython Tracks"
HvyHPython-Trk-TwinAssaultCannon	"Twin Assault Cannon HvyHPython Tracks"
HvyLeopardBBTracks	"Bunker Buster HvyLeopard Tracks"
HvyLeopardPlasmaCTracks	"Plasma Cannon HvyLeopard Tracks"
HvyLeopardScourgeTracks	"Scourge HvyLeopard Tracks"
HvyLeopardTKTracks	"Tank Killer HvyLeopard Tracks"
HvyLeopard-Trk-AG	"Assault Gun HvyLeopard Tracks"
HvyLeopardTrkHC	"Heavy Cannon HvyLeopard Tracks"
HvyLeopard-Trk-Incendiary-Mortar	"Incendiary Mortar HvyLeopard Tracks"
HvyLeopard-Trk-TwinAssaultCannon	"Twin Assault Cannon HvyLeopard Tracks"
HvyMantisBBTracks	"Bunker Buster HvyMantis Tracks"
HvyMantisHeatBBTracks	"Bunker Buster HvyMantisHeat Tracks"
HvyMantisHeatPlasmaCTracks	"Plasma Cannon HvyMantisHeat Tracks"
HvyMantisHeatScourgeTracks	"Scourge HvyMantisHeat Tracks"
HvyMantisHeatTKTracks	"Tank Killer HvyMantisHeat Tracks"
HvyMantisHeat-Trk-AG	"Assault Gun HvyMantisHeat Tracks"
HvyMantisHeatTrkHC	"Heavy Cannon HvyMantisHeat Tracks"
HvyMantisHeat-Trk-Incendiary-Mortar	"Incendiary Mortar HvyMantisHeat Tracks"
HvyMantisHeat-Trk-TwinAssaultCannon	"Twin Assault Cannon HvyMantisHeat Tracks"
HvyMantisPlasmaCTracks	"Plasma Cannon HvyMantis Tracks"
HvyMantisScourgeTracks	"Scourge HvyMantis Tracks"
HvyMantisTKTracks	"Tank Killer HvyMantis Tracks"
HvyMantis-Trk-AG	"Assault Gun HvyMantis Tracks"
HvyMantisTrkHC	"Heavy Cannon HvyMantis Tracks"
HvyMantis-Trk-Incendiary-Mortar	"Incendiary Mortar HvyMantis Tracks"
HvyMantis-Trk-TwinAssaultCannon	"Twin Assault Cannon HvyMantis Tracks"
HvyPythonGaussTracks	"Gauss Cannon HvyPython Tracks"
HvyPythonHvyCnTrks	"Heavy Cannon HvyPython Tracks"
HvyPythonHvyMortarTrack	"Bombard HvyPython Tracks"
HvyPythonIncMortarTrack	"Incendiary Mortar HvyPython Tracks"
HvyPythonMedCanTracks	"Medium Cannon HvyPython Tracks"
HvyPythonPulseTracks	"Pulse Laser HvyPython Tracks"
HvyPythonRotMortarTrack	"Pepperpot HvyPython Tracks"
HvyPythonScourgeTracks	"Scourge HvyPython Tracks"
HvyPythonTKTracks	"Tank Killer HvyPython Tracks"
Indirectlab	 "Indirectweaponslab"
Laser2PULSEMk1	_("Pulse Laser")
Laser2PULSE-VTOL	_("VTOL Pulse Laser")
Laser3BEAMMk1	_("Flashlight")
Laser3BEAM-VTOL	_("VTOL Flashlight")
Laser4-PlasmaCannon	_("Plasma Cannon")
Laseropticslab	"Laseropticslab"
LasSat	_("Laser Satellite Command Post")
LasSatCommandSensor	"*LasSatCommandSensor*"
LeopardHoverAssaultCannon	"Assault Cannon Leopard Hover"
LeopardHoverPulseLas	_("Pulse Laser Leopard Hover")
LeopardSupHoverAssaultCannon	"*LeopardSupHoverAssaultCannon*"
LeopardSupHoverPulseLas	"*LeopardSupHoverPulseLas*"
LightRepair1	_("Repair Turret")
LogCabin1	"*LogCabin1*"
LogCabin2	"*LogCabin2*"
LogCabin3	"*LogCabin3*"
LogCabin4	"*LogCabin4*"
LogCabin5	"*LogCabin5*"
LookOutTower	_("Look-Out Tower")
MantisBBTracks	_("Bunker Buster Mantis Tracks")
MantisHeatBBTracks	"Bunker Buster Thermal Mantis Tracks"
MantisHeatHoverAC	"Assault Cannon Thermal Mantis Hover"
MantisHeatHoverInferno	"Inferno Thermal Mantis Hover"
MantisHeatHoverTruck	"Truck Thermal Mantis Hover"
MantisHeatPlasmaCTracks	"Plasma Cannon Thermal Mantis Tracks"
MantisHeatScourgeTracks	"Scourge Thermal Mantis Tracks"
MantisHeatTKTracks	"Tank Killer Thermal Mantis Tracks"
Mantis-Heat-Trk-AG	"Assault Gun Thermal Mantis Tracks"
Mantis-Heat-Trk-Com	"Command Turret Thermal Mantis Tracks"
MantisHeatTrkHC	"Heavy Cannon Thermal Mantis Tracks"
Mantis-Heat-Trk-Incendiary-Mortar	"Incendiary Mortar Thermal Mantis Tracks"
Mantis-Heat-Trk-TwinAssaultCannon	"Twin Assault Cannon Thermal Mantis Tracks"
MantisHoverAC	_("Assault Cannon Mantis Hover")
MantisHoverInferno	"Inferno Mantis Hover"
MantisHoverTruck	_("Truck Mantis Hover")
MantisPlasmaCTracks	"Plasma Cannon Mantis Tracks"
MantisScourgeTracks	_("Scourge Mantis Tracks")
MantisTKTracks	_("Tank Killer Mantis Tracks")
Mantis-Trk-AG	"Assault Gun Mantis Tracks"
Mantis-Trk-Com	_("Command Turret Mantis Tracks")
MantisTrkHC	_("Heavy Cannon Mantis Tracks")
Mantis-Trk-Incendiary-Mortar	"Incendiary Mortar Mantis Tracks"
Mantis-Trk-TwinAssaultCannon	"Twin Assault Cannon Mantis Tracks"
MassDriver	_("Mass Driver")
Mech1	"Mech1"
Mech2	"Mech2"
Mech3	"Mech3"
Mech4	"Mech4"
Mech5	"Mech5"
Mech6	"Mech6"
Mech7	"Mech7"
Mech8	"Mech8"
MG1Mk1	_("Machinegun")
MG1-Pillbox	_("Machinegun Bunker")
MG1-VTOL	_("VTOL Machinegun")
MG2Mk1	_("Twin Machinegun")
MG2-Pillbox	_("Twin Machinegun Bunker")
MG2-VTOL	_("VTOL Twin Machinegun")
MG3Mk1	_("Heavy Machinegun")
MG3-Pillbox	_("Heavy Machinegun Bunker")
MG3-VTOL	_("VTOL Heavy Machinegun")
MG4ROTARYMk1	_("Assault Gun")
MG4ROTARY-Pillbox	"*MG4ROTARY-Pillbox*"
MG4ROTARY-VTOL	_("VTOL Assault Gun")
MG5TWINROTARY	_("Twin Assault Gun")
miruin2	"*miruin*2*"
Missile-A-T	_("Scourge Missile")
Missile-HvyArt	_("Archangel Missile")
Missile-HvyArt-pit	"*Missile-HvyArt-pit*"
Missile-HvySAM	_("Vindicator SAM")
Missile-LtSAM	_("Avenger SAM")
Missile-MdArt	_("Seraph Missile Array")
Missile-MdArt-pit	"*Seraph Missile-pit*"
MissileSuper	_("Missile Fortress")
Missile-VTOL-AT	_("VTOL Scourge Missile")
Mortar1Mk1	_("Mortar")
Mortar1Mk1-Pit	_("Mortar Emplacement")
Mortar2Mk1	_("Bombard")
Mortar2Mk1-Pit	_("Bombard Emplacement")
Mortar3ROTARYMk1	_("Pepperpot")
Mortar3ROTARYMk1-Pit	_("Pepperpot Emplacement")
MortarEMP	_("EMP Mortar")
Mortar-Incenediary	_("Incendiary Mortar")
MP-Cyb-ATmiss-GRD	_("Scourge")
MP-Cyb-Laser1-GRD	_("Flashlight Gunner")
MP-Cyb-Needle-GRD	_("Needle Gunner")
Nanolab	 "Nanolab"
Naval	_("Naval")
NavaroneGun	"*NavaroneGun*"
NavGunSensor	"*Nexus Sensor*"
NEXUSCWall	_("Nexus Corner Wall")
NEXUSlink	"*NEXUSlink*"
NEXUSrepair	"*NEXUSrepair*"
NEXUSWall	_("Nexus Wall")
NP-H-HvyCannon-Hover	"*NP-H-HvyCannon-Hover*"
NP-H-HvyCannon-Tracks	"*NP-H-HvyCannon-Tracks*"
NP-H-MdCannon-Tracks	"*NP-H-MdCannon-Tracks*"
NP-L-HMG-Halftrack	"*NP-L-HMG-Half-track*"
NP-L-LtAT-Halftrack	"*NP-L-LtAT-Half-track*"
NP-L-LtCannon-Halftrack	"*NP-L-LtCannon-Halftrack*"
NP-L-MRLS-Halftrack	"*NP-L-MRLS-Half-track*"
NP-L-RocketPod-Wheels	"*NP-L-RocketPod-Wheels*"
NP-L-Sensor-Wheels	"*NP-L-Sensor-Wheels*"
NP-M-BB-Halftrack	"*NP-M-BB-Half-track*"
NP-M-CBS-Halftrack	"*NP-M-CBS-Halftrack*"
NP-M-Command-Halftrack	"*NP-M-Command-Half-track*"
NP-M-Command-Track	"*NP-M-Command-Track*"
NP-M-CON-HalfTrack	"*NP-M-CON-Half-track*"
NP-M-CON-Track	"*NP-M-CON-Track*"
NP-M-HvyMortar-Halftrack	"*NP-M-HvyMortar-Half-track*"
NP-M-LitCannon-Halftrack	"*NP-M-LtCannon-Half-track*"
NP-M-LtAT-Hover	"*NP-M-LtAT-Hover*"
NP-M-LtMortar-Halftrack	"*NP-M-LtMortar-Half-track*"
NP-M-MdCannon-Halftrack	"*NP-M-MdCannon-Half-track*"
NP-M-MdCannon-Tracks	"*NP-M-MdCannon-Tracks*"
NP-M-MG3-Hover	"*NP-M-MG3-Hover*"
NP-M-Repair-HalfTrack	"*NP-M-Repair-Half-track*"
NP-M-Sensor-Wheels	"*NP-M-Sensor-Wheels*"
NuclearReactor	"*NuclearReactor*"
nukepowstat	 "*NuclearPowerStation*"
NX-AASite-SAM1	"*NX-AASite-SAM1*"
NX-AASite-SAM2	"*NX-AASite-SAM2*"
NX-ANTI-SATSite	_("Missile Silo")
NX-CruiseSite	_("Missile Silo")
NX-Cyb-HvMiss-JUMP	"*NX-Cyb-HvMiss-JUMP*"
NX-CybLasGrnd	"*NX-CybLasGrnd*"
NX-Cyb-Miss-JUMP	"*NX-Cyb-Miss-JUMP*"
NX-CyborgChaingun	"*NX-CyborgChaingun*"
